City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2022-10-19 21:42:09,5.4112,100.3354,78.24,90,20,5.01
68,Sabzevar,IR,2022-10-19 21:42:10,36.2126,57.6819,54.68,62,0,13.8
69,Cap Malheureux,MU,2022-10-19 21:42:10,-19.9842,57.6142,66.47,74,22,3.0
70,Mosquera,CO,2022-10-19 21:42:12,4.7059,-74.2302,62.69,72,75,11.5
71,Hambantota,LK,2022-10-19 21:42:13,6.1241,81.1185,79.14,94,20,6.91
72,Lorengau,PG,2022-10-19 21:42:13,-2.0226,147.2712,83.93,67,100,6.46
73,Inuvik,CA,2022-10-19 21:42:14,68.3499,-133.7218,27.36,93,100,9.22
74,Mar Del Plata,AR,2022-10-19 21:42:14,-38.0023,-57.5575,64.09,96,75,15.99
75,Hokitika,NZ,2022-10-19 21:42:15,-42.7167,170.9667,55.0,69,100,9.57
76,Denizli,TR,2022-10-19 21:42:15,37.8402,29.0698,63.0,63,0,2.37
77,Lebu,CL,2022-10-19 21:42:16,-37.6167,-73.65,54.28,82,41,7.99
78,Avarua,CK,2022-10-19 21:42:17,-21.2078,-159.775,80.65,65,20,17.27
79,Najran,SA,2022-10-19 21:40:30,17.4924,44.1277,66.85,24,0,2.01
80,Shimoda,JP,2022-10-19 21:42:18,34.6667,138.95,54.1,67,0,11.39
81,Tiznit,MA,2022-10-19 21:42:18,29.5833,-9.5,77.2,28,28,5.75
82,Puerto Ayora,EC,2022-10-19 21:42:19,-0.7393,-90.3518,75.16,85,93,7.0
83,Otradnoye,RU,2022-10-19 21:41:11,59.7775,30.8181,39.25,87,87,4.65
84,Saint-Philippe,RE,2022-10-19 21:42:19,-21.3585,55.7679,65.79,73,35,8.16
85,Victoria,HK,2022-10-19 21:40:34,22.2855,114.1577,74.32,66,81,7.0
86,Lahij,YE,2022-10-19 21:42:20,13.1667,44.5833,79.34,48,0,3.33
87,Farim,GW,2022-10-19 21:42:20,12.4839,-15.2217,75.42,89,18,1.7
88,Dunedin,NZ,2022-10-19 21:42:21,-45.8742,170.5036,53.8,67,91,1.01
89,Viedma,AR,2022-10-19 21:42:21,-40.8135,-62.9967,73.74,43,92,13.49
90,Abha,SA,2022-10-19 21:42:22,18.2164,42.5053,59.25,29,0,0.0
91,Ayni,TJ,2022-10-19 21:43:22,39.3941,68.5377,24.04,71,33,7.54
92,Cabo San Lucas,MX,2022-10-19 21:43:23,22.8909,-109.9124,89.62,71,13,6.02
93,Imeni Poliny Osipenko,RU,2022-10-19 21:43:23,52.4201,136.4853,32.86,82,100,4.9
94,Abong Mbang,CM,2022-10-19 21:43:24,3.9833,13.1833,68.58,99,100,3.0
95,Campobasso,IT,2022-10-19 21:43:24,41.6333,14.5833,64.94,74,0,3.09
96,Aksum,ET,2022-10-19 21:43:24,14.1245,38.7244,62.38,46,71,5.66
97,Atuona,PF,2022-10-19 21:43:25,-9.8,-139.0333,76.82,67,1,13.06
98,Tuktoyaktuk,CA,2022-10-19 21:43:25,69.4541,-133.0374,26.6,86,75,5.75
99,Turukhansk,RU,2022-10-19 21:43:26,65.8167,87.9833,32.83,94,100,17.6
100,Nouakchott,MR,2022-10-19 21:43:26,18.0858,-15.9785,84.13,59,0,11.7
101,Bongandanga,CD,2022-10-19 21:43:27,1.5,21.05,69.01,99,98,1.68
102,Arraial Do Cabo,BR,2022-10-19 21:43:27,-22.9661,-42.0278,73.26,88,75,14.97
103,Bambous Virieux,MU,2022-10-19 21:43:27,-20.3428,57.7575,70.05,68,20,6.91
104,Ilulissat,GL,2022-10-19 21:39:35,69.2167,-51.1,28.42,69,100,9.22
105,Qasigiannguit,GL,2022-10-19 21:43:28,68.8193,-51.1922,28.65,96,99,4.94
106,Sitka,US,2022-10-19 21:39:25,57.0531,-135.33,53.49,82,100,23.02
107,Gulariya,NP,2022-10-19 21:43:28,28.2333,81.3333,65.17,79,0,2.93
108,Grand Gaube,MU,2022-10-19 21:43:29,-20.0064,57.6608,70.2,74,25,3.0
109,Ribeira Grande,PT,2022-10-19 21:43:29,38.5167,-28.7,64.78,76,100,4.0
110,Palembang,ID,2022-10-19 21:42:12,-2.9167,104.7458,75.29,94,40,0.0
111,Leningradskiy,RU,2022-10-19 21:43:30,69.3833,178.4167,31.14,94,100,22.55
112,Caravelas,BR,2022-10-19 21:43:30,-17.7125,-39.2481,74.14,76,34,7.47
113,Berdigestyakh,RU,2022-10-19 21:43:31,62.0989,126.6992,21.65,93,100,8.32
114,Korla,CN,2022-10-19 21:43:31,41.7597,86.1469,53.11,42,61,16.6
115,Olafsvik,IS,2022-10-19 21:43:31,64.8945,-23.7142,44.73,83,100,18.41
116,Qaqortoq,GL,2022-10-19 21:43:32,60.7167,-46.0333,34.83,74,13,31.21
117,Carnarvon,AU,2022-10-19 21:43:32,-24.8667,113.6333,65.05,85,5,10.47
118,Dingle,PH,2022-10-19 21:43:32,10.9995,122.6711,76.73,89,100,2.17
119,Nacala,MZ,2022-10-19 21:43:33,-14.5428,40.6728,72.18,88,0,4.59
120,Machachi,EC,2022-10-19 21:43:33,-0.5,-78.5667,59.76,97,100,3.31
121,Luau,AO,2022-10-19 21:43:34,-10.7073,22.2247,71.01,57,75,4.14
122,Bandarbeyla,SO,2022-10-19 21:43:34,9.4942,50.8122,78.48,85,92,12.01
123,Longyearbyen,SJ,2022-10-19 21:41:37,78.2186,15.6401,28.24,64,40,25.32
124,Tabou,CI,2022-10-19 21:43:34,4.423,-7.3528,76.37,89,89,5.88
125,Hilo,US,2022-10-19 21:39:42,19.7297,-155.09,87.28,69,0,7.0
126,Severo-Kurilsk,RU,2022-10-19 21:38:59,50.6789,156.125,40.95,63,71,32.48
127,Husum,DE,2022-10-19 21:43:35,54.4858,9.0524,42.91,76,64,7.96
128,Buraydah,SA,2022-10-19 21:43:35,26.326,43.975,73.85,13,0,5.46
129,La Ronge,CA,2022-10-19 21:43:36,55.1001,-105.2842,59.22,51,20,5.75
130,Castro,BR,2022-10-19 21:43:36,-24.7911,-50.0119,63.77,91,23,3.22
131,Paoua,CF,2022-10-19 21:43:36,7.2427,16.4406,68.65,97,100,3.56
132,Lhokseumawe,ID,2022-10-19 21:43:37,5.1801,97.1507,77.02,87,100,5.68
133,Meulaboh,ID,2022-10-19 21:43:37,4.1363,96.1285,75.15,88,100,2.55
134,Brovary,UA,2022-10-19 21:43:37,50.5,30.7667,47.88,96,99,14.81
135,Koupela,BF,2022-10-19 21:43:38,12.1794,-0.3517,84.33,36,89,5.84
136,Umea,SE,2022-10-19 21:43:38,63.8284,20.2597,40.91,81,0,6.91
137,Cherskiy,RU,2022-10-19 21:44:39,68.75,161.3,22.28,95,100,7.14
138,Rockford,US,2022-10-19 21:41:07,42.2711,-89.094,46.87,40,40,12.66
139,Alangayam,IN,2022-10-19 21:44:39,12.6,78.75,69.24,94,65,0.83
140,Saskylakh,RU,2022-10-19 21:44:39,71.9167,114.0833,3.04,95,95,4.09
141,Timra,SE,2022-10-19 21:44:40,62.487,17.3257,43.68,75,100,8.05
142,Qaanaaq,GL,2022-10-19 21:44:40,77.484,-69.3632,-0.45,68,0,10.38
143,Jundia,BR,2022-10-19 21:44:40,-8.9347,-35.5736,71.46,89,63,4.72
144,Hermanus,ZA,2022-10-19 21:44:41,-34.4187,19.2345,62.8,92,95,13.27
145,Nanortalik,GL,2022-10-19 21:42:01,60.1432,-45.2371,35.26,83,64,33.17
146,Dosso,NE,2022-10-19 21:44:41,13.049,3.1937,84.42,22,99,3.78
147,Chabahar,IR,2022-10-19 21:44:42,25.2919,60.643,81.46,59,91,2.55
148,Hue,VN,2022-10-19 21:40:35,16.4667,107.6,71.71,83,100,9.22
149,Buri,BR,2022-10-19 21:44:42,-23.7975,-48.5928,69.49,81,5,2.68
150,Geraldton,AU,2022-10-19 21:44:42,-28.7667,114.6,61.21,88,100,1.14
151,Port Elizabeth,ZA,2022-10-19 21:44:43,-33.918,25.5701,77.09,82,20,4.61
152,Terekli-Mekteb,RU,2022-10-19 21:44:43,44.1671,45.8698,58.19,83,91,7.65
153,Bethel,US,2022-10-19 21:44:44,41.3712,-73.414,51.94,56,100,9.22
154,Sao Filipe,CV,2022-10-19 21:44:44,14.8961,-24.4956,79.36,81,33,4.07
155,Herat,AF,2022-10-19 21:44:44,34.5,62.0,46.0,75,0,6.38
156,Mehran,IR,2022-10-19 21:44:45,33.1222,46.1646,78.78,13,16,3.22
157,Hofn,IS,2022-10-19 21:44:36,64.2539,-15.2082,42.44,67,6,5.77
158,Antofagasta,CL,2022-10-19 21:43:53,-23.65,-70.4,60.08,75,25,7.74
159,Victoria Point,AU,2022-10-19 21:44:46,-27.5833,153.3,69.76,93,100,1.01
160,Kamaishi,JP,2022-10-19 21:44:46,39.2667,141.8833,51.08,65,2,7.07
161,Talnakh,RU,2022-10-19 21:44:47,69.4865,88.3972,34.21,97,100,13.18
162,Iralaya,HN,2022-10-19 21:44:47,15.0,-83.2333,82.08,78,26,7.16
163,Zapolyarnyy,RU,2022-10-19 21:44:47,69.4154,30.8136,34.88,90,92,16.49
164,Salinas,US,2022-10-19 21:44:48,36.6777,-121.6555,100.0,16,0,4.61
165,Mana,GF,2022-10-19 21:44:48,5.6592,-53.7767,80.08,82,78,11.03
166,Sayyan,YE,2022-10-19 21:44:48,15.1718,44.3244,54.86,31,0,3.62
167,Srednekolymsk,RU,2022-10-19 21:44:49,67.45,153.6833,14.04,94,100,21.72
168,Glenwood Springs,US,2022-10-19 21:42:19,39.5505,-107.3248,74.07,21,0,5.75
169,Rawalpindi,PK,2022-10-19 21:44:49,33.6007,73.0679,64.24,71,88,1.99
170,Amapa,BR,2022-10-19 21:44:50,1.0,-52.0,74.03,92,93,4.14
171,San Quintin,MX,2022-10-19 21:44:50,30.4833,-115.95,77.85,51,96,9.55
172,Vestmannaeyjar,IS,2022-10-19 21:44:50,63.4427,-20.2734,44.6,74,100,8.3
173,Tasiilaq,GL,2022-10-19 21:44:52,65.6145,-37.6368,32.16,91,100,7.58
174,Erenhot,CN,2022-10-19 21:44:52,43.6475,111.9767,50.94,48,13,12.26
175,Bereslavka,RU,2022-10-19 21:44:52,48.6254,44.0449,48.97,57,100,6.06
176,Aklavik,CA,2022-10-19 21:44:53,68.2191,-135.0107,26.6,93,100,8.05
177,Henties Bay,NA,2022-10-19 21:44:53,-22.116,14.2845,59.23,87,98,9.64
178,Hobyo,SO,2022-10-19 21:44:54,5.3505,48.5268,77.74,83,47,17.65
179,Nishihara,JP,2022-10-19 21:44:54,26.1842,127.7558,73.06,70,75,21.85
180,Alekseyevsk,RU,2022-10-19 21:44:54,57.8406,108.3492,27.93,97,86,2.42
181,Port Keats,AU,2022-10-19 21:44:55,-14.25,129.55,84.02,76,40,4.36
182,Sept-Iles,CA,2022-10-19 21:44:55,50.2001,-66.3821,50.52,98,100,23.02
183,Khorramshahr,IR,2022-10-19 21:44:55,30.4397,48.1664,73.36,46,17,4.61
184,Itaituba,BR,2022-10-19 21:48:13,-4.2761,-55.9836,89.76,66,0,5.75
185,Ancud,CL,2022-10-19 21:48:13,-41.8697,-73.8203,53.22,84,97,10.92
186,Powell,US,2022-10-19 21:47:23,40.1578,-83.0752,49.1,68,75,11.5
187,Pochutla,MX,2022-10-19 21:48:14,15.7432,-96.4661,77.83,97,100,1.92
188,Nkwerre,NG,2022-10-19 21:48:14,5.7556,7.1063,72.82,95,99,4.29
189,Tromso,NO,2022-10-19 21:48:15,69.6496,18.957,37.42,87,40,3.44
190,Ponta Do Sol,PT,2022-10-19 21:48:15,32.6667,-17.1,75.0,77,100,9.73
191,Magrath,CA,2022-10-19 21:48:16,49.4167,-112.8686,79.12,10,47,14.97
192,Suez,EG,2022-10-19 21:48:16,29.9737,32.5263,68.49,73,1,9.98
193,Phan Thiet,VN,2022-10-19 21:48:17,10.9333,108.1,75.31,90,98,6.31
194,Tuatapere,NZ,2022-10-19 21:48:17,-46.1333,167.6833,48.88,74,72,10.6
195,Kachkanar,RU,2022-10-19 21:48:18,58.7,59.4948,31.19,94,74,4.43
196,Hit,IQ,2022-10-19 21:48:18,33.6416,42.8251,83.55,15,81,7.9
197,Pestravka,RU,2022-10-19 21:48:18,52.405,49.9583,48.04,90,100,6.24
198,Charlestown,AU,2022-10-19 21:48:19,-32.95,151.6667,66.72,97,100,1.01
199,Itarema,BR,2022-10-19 21:48:20,-2.9248,-39.9167,79.27,79,53,16.64
200,Barrow,US,2022-10-19 21:47:43,71.2906,-156.7887,24.82,86,100,6.91
201,Deputatskiy,RU,2022-10-19 21:48:20,69.3,139.9,-8.54,88,16,4.74
202,Kahului,US,2022-10-19 21:48:21,20.8947,-156.47,87.82,60,20,10.36
203,Charters Towers,AU,2022-10-19 21:48:21,-20.1,146.2667,79.43,66,35,7.81
204,Comodoro Rivadavia,AR,2022-10-19 21:48:22,-45.8667,-67.5,73.26,28,0,32.21
205,Hirara,JP,2022-10-19 21:48:22,24.8,125.2833,75.47,73,75,19.57
206,Lagoa,PT,2022-10-19 21:48:22,39.05,-27.9833,66.18,74,100,25.88
207,Goderich,CA,2022-10-19 21:48:23,43.7501,-81.7165,43.92,75,100,16.11
208,Haines Junction,CA,2022-10-19 21:48:23,60.7522,-137.5108,39.15,100,100,3.44
209,Mecca,SA,2022-10-19 21:48:23,21.4267,39.8261,80.58,54,0,3.49
210,Lamu,KE,2022-10-19 21:48:24,-2.2717,40.902,73.62,86,10,9.46
211,Grindavik,IS,2022-10-19 21:48:24,63.8424,-22.4338,41.47,93,100,10.36
212,Quatre Cocos,MU,2022-10-19 21:48:25,-20.2078,57.7625,69.91,71,52,11.18
213,Brownsville,US,2022-10-19 21:48:25,25.9018,-97.4975,76.08,37,0,10.36
214,Bengkulu,ID,2022-10-19 21:48:26,-3.8004,102.2655,73.96,92,100,1.68
215,Merrill,US,2022-10-19 21:48:26,45.1805,-89.6835,44.37,49,0,11.5
216,Norman Wells,CA,2022-10-19 21:48:26,65.282,-126.8329,32.04,100,100,11.5
217,Kaitangata,NZ,2022-10-19 21:48:27,-46.2817,169.8464,55.49,46,85,12.53
