City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
180,Richards Bay,ZA,71.1,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
181,Sabang,ID,80.17,light rain,5.8933,95.3214,Hotel Citra
183,Adelaide,AU,76.06,few clouds,-34.9333,138.6,The Chancellor on Currie
184,Namatanai,PG,86.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
185,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
186,Buchanan,LR,74.71,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
188,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
189,Ixtapa,MX,75.83,light rain,20.7,-105.2,hotel la terminal
190,Bargarh,IN,76.37,clear sky,21.3333,83.6167,HOTEL VD PALACE
191,Morondava,MG,77.32,clear sky,-20.2833,44.2833,La Case Bambou
198,Omboue,GA,74.97,overcast clouds,-1.5746,9.2618,Hotel Olako
202,Meulaboh,ID,74.97,overcast clouds,4.1363,96.1285,Kost Pria
203,Ribas Do Rio Pardo,BR,70.83,moderate rain,-20.4431,-53.7592,Pousada Avenida
204,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
205,Byron Bay,AU,71.71,light rain,-28.65,153.6167,Backpackers Inn
206,Iranshahr,IR,80.73,clear sky,27.2025,60.6848,نیک سرشت
209,Broken Hill,AU,73.99,broken clouds,-31.95,141.4333,Royal Exchange Hotel
210,Arlit,NE,73.83,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
213,Iracoubo,GF,79.27,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
216,Guerrero Negro,MX,71.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
218,Yazman,PK,79.81,clear sky,29.1212,71.7446,Malik House
220,Marsa Matruh,EG,70.02,broken clouds,31.3525,27.2453,Beau Site
222,Buraydah,SA,72.36,clear sky,26.326,43.975,Mövenpick Qassim
224,Innisfail,AU,81.82,overcast clouds,-17.5333,146.0333,Moondarra Motel
225,Laguna,US,73.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
226,Souillac,MU,72.99,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
229,Upata,VE,76.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
230,Bubaque,GW,80.94,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
244,Santa Helena,BR,72.7,few clouds,-2.2311,-45.3,Turi Plaza Hotel
246,San Patricio,US,73.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
250,Touros,BR,77.14,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
252,Palasa,IN,82.38,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
253,Linqiong,CN,74.35,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
257,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
261,Cantapoy,PH,84.83,overcast clouds,9.4906,125.4364,Brgy Pili Mountain View
262,Tessalit,ML,75.07,scattered clouds,20.1986,1.0114,
267,Merauke,ID,84.6,broken clouds,-8.4667,140.3333,
272,Loikaw,MM,77.61,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
273,Olinda,BR,76.1,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
274,Poum,NC,77.02,overcast clouds,-20.2333,164.0167,
279,Nelson Bay,AU,70.0,light rain,-32.7167,152.15,Mantra Nelson Bay
280,Bandarban,BD,88.9,clear sky,22.1965,92.2262,HOTEL PLAZA BANDARBAN
284,Nueva Gerona,CU,73.56,scattered clouds,21.8833,-82.8,Casa de la Alegria
285,Campoverde,PE,74.34,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
286,La Reforma,MX,78.6,clear sky,25.0833,-108.05,Hotel Reforma
288,Vila Velha,BR,73.94,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
290,Husainabad,IN,78.48,clear sky,24.5333,84.0167,Mehdinager
291,Kedougou,SN,72.39,few clouds,12.5579,-12.1743,Relais de Kédougou
294,Simao,CN,75.11,broken clouds,22.7886,100.9748,Changyu Hotel
297,Chake Chake,TZ,74.86,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
300,Kudahuvadhoo,MV,81.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
305,Adrar,MR,81.9,overcast clouds,20.5022,-10.0711,
307,Kendari,ID,88.18,broken clouds,-3.945,122.4989,Hotel Wixel
314,Morrinhos,BR,77.97,overcast clouds,-17.7311,-49.0994,"Hotel Aguia - Hotel, Per Noite, Hotel Morrinhos"
318,Yibin,CN,79.32,broken clouds,28.7667,104.6238,Handsome Guesthouse
321,Prainha,BR,76.03,clear sky,-1.8,-53.48,Casa Rocha
322,Dawei,MM,87.1,broken clouds,14.0833,98.2,Hotel Dawei
323,Champerico,GT,78.94,moderate rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
325,Jeremie,HT,78.91,broken clouds,18.65,-74.1167,Auberge’Inn
326,Tautira,PF,77.31,light rain,-17.7333,-149.15,Pension Oaoa
331,Sur,OM,85.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
333,Koutiala,ML,77.29,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
336,Itupiranga,BR,77.14,broken clouds,-5.1347,-49.3267,Hotel Panorama
337,Birao,CF,72.64,overcast clouds,10.2849,22.7882,
338,Mahibadhoo,MV,81.91,overcast clouds,3.7833,72.9667,Omadhoo Inn
340,Nioro,GM,74.21,clear sky,13.35,-15.75,
343,Feijo,BR,73.44,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
344,Hasaki,JP,73.22,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
345,Karratha,AU,88.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
347,Jamkhed,IN,77.9,broken clouds,18.7362,75.3121,Ugale's Residence
348,San Antonio,US,70.32,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
349,Ambilobe,MG,74.3,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
352,Voh,NC,80.01,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
354,Neiafu,TO,79.48,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
357,Road Town,VG,82.47,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
358,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
359,Birganj,NP,78.13,clear sky,27.0104,84.8774,Capital O 716 Hotel Vishuwa
360,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
362,Manokwari,ID,82.62,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
366,Pout,SN,77.76,few clouds,14.7739,-17.0603,chez sada niang
372,Eyl,SO,79.18,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
373,Hobyo,SO,79.38,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
375,Izumo,JP,71.42,scattered clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
377,Torres,BR,71.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
381,Kathu,TH,83.75,light rain,7.9178,98.3332,Novotel Phuket Resort
385,Waris Aliganj,IN,79.12,clear sky,25.0167,85.6333,Safiganj
386,Taoudenni,ML,78.44,few clouds,22.6783,-3.9836,
390,Mopti,ML,83.1,overcast clouds,14.6667,-4.0,
391,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
393,Minab,IR,86.25,clear sky,27.1467,57.0801,Bam campground
394,Kieta,PG,82.94,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
399,Pangai,TO,73.51,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
400,Sao Jose Da Coroa Grande,BR,73.96,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
402,Gibara,CU,78.15,heavy intensity rain,21.1097,-76.1317,Sol y Mar
403,Qui Nhon,VN,81.07,overcast clouds,13.7667,109.2333,Seagull Hotel
404,Bull Savanna,JM,75.76,scattered clouds,17.8868,-77.5902,Big Red's
405,Gummidipundi,IN,84.2,overcast clouds,13.4,80.15,Le Raj Courtyard
406,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
411,Ballina,AU,71.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
415,Xuddur,SO,71.92,scattered clouds,4.1213,43.8894,Banjanay Hotel
416,Taunggyi,MM,74.97,clear sky,20.7833,97.0333,True Treasure Hotel
417,Siocon,PH,85.35,broken clouds,7.7061,122.1353,ABS Hotel
419,Correntina,BR,73.81,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
420,Sharjah,AE,80.58,haze,25.3573,55.4033,Swiss Belhotel Sharjah
421,Linqu,CN,70.03,broken clouds,36.5156,118.5397,Jiaohua Hotel
424,Gigmoto,PH,85.66,overcast clouds,13.7796,124.39,Cj's Travellers Inn
430,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
435,Oyama,JP,74.59,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
436,Port-Gentil,GA,77.74,light rain,-0.7193,8.7815,Fengshui Residence
438,Kirakira,SB,84.09,overcast clouds,-10.4544,161.9205,SanBiz Lodge
439,Afikpo,NG,72.91,overcast clouds,5.8931,7.9374,P. Noble Hotels and Suite
442,Beloha,MG,76.87,clear sky,-25.1667,45.05,
445,Vaitape,PF,78.96,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
449,Ciudad Bolivar,VE,80.87,broken clouds,8.1222,-63.5497,Hotel Edi
454,Vanimo,PG,84.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
455,Bousso,TD,74.93,overcast clouds,10.4795,16.7117,
456,Aden,YE,83.25,clear sky,12.7794,45.0367,Sama Emirate Hotel
457,Niamey,NE,82.53,broken clouds,13.5137,2.1098,Soluxe Hotel Niamey
460,Tabas,IR,74.44,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
467,Catia La Mar,VE,80.98,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
475,Kinkala,CG,70.95,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
477,Gushikawa,JP,83.43,overcast clouds,26.3544,127.8686,Kirari Guest House
484,Caravelas,BR,71.31,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
485,Harper,LR,75.52,broken clouds,4.375,-7.7169,Screensaver
486,Luba,GQ,77.05,moderate rain,3.4568,8.5547,
487,Cururupu,BR,75.22,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
488,Santa Cruz,BO,72.86,thunderstorm with light rain,-17.8,-63.1667,Aviador Hotel Boutique
489,Xucheng,CN,77.16,overcast clouds,20.35,110.1288,Haixing Hotel
492,Quelimane,MZ,76.33,scattered clouds,-17.8786,36.8883,Hotel Flamingo
494,Arenapolis,BR,76.03,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
497,Dapdap,PH,85.62,overcast clouds,12.062,125.4881,Oasis Lodge
501,Rudbar,AF,72.86,clear sky,30.15,62.6,
502,Nouadhibou,MR,71.73,clear sky,20.931,-17.0347,El Medina
506,Trindade,BR,76.39,overcast clouds,-16.6494,-49.4889,Pousada Central
507,Prado,BR,71.83,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
510,Sao Felix Do Xingu,BR,73.9,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
511,Wodonga,AU,71.11,moderate rain,-36.1167,146.8833,The Hume Inn Motel
512,Shenzhen,CN,85.86,scattered clouds,22.5455,114.0683,Grand Skylight
514,Kidal,ML,76.06,scattered clouds,18.4411,1.4078,
518,Huilong,CN,71.26,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
520,Makakilo City,US,77.45,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
522,Sai Buri,TH,82.96,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
523,Son La,VN,73.8,broken clouds,21.3167,103.9,Galaxy Grand Hotel
