City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Ponta Do Sol,PT,32.6667,-17.1,74.01,88,100,3.36,light rain
80,Qaanaaq,GL,77.484,-69.3632,-2.13,69,0,10.33,clear sky
81,Hermanus,ZA,-34.4187,19.2345,52.81,87,26,7.31,scattered clouds
82,Nanortalik,GL,60.1432,-45.2371,38.12,63,100,1.97,overcast clouds
83,Takhtamygda,RU,54.1,123.5667,38.53,44,11,6.08,few clouds
84,Cockburn Town,TC,21.4612,-71.1419,83.1,76,9,17.54,clear sky
85,Nouakchott,MR,18.0858,-15.9785,79.25,71,0,8.48,clear sky
86,Provideniya,RU,64.3833,-173.3,35.71,100,100,13.42,fog
87,Lufilufi,WS,-13.8745,-171.5986,81.03,77,99,12.88,light rain
88,Silvan,TR,38.1419,41.0081,57.49,72,87,0.34,overcast clouds
89,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
90,Jamestown,US,42.097,-79.2353,40.71,81,48,1.99,scattered clouds
91,Saint George,US,37.1041,-113.5841,70.95,27,5,1.9,clear sky
92,Port Alfred,ZA,-33.5906,26.891,61.18,97,60,3.38,broken clouds
93,Taltal,CL,-25.4,-70.4833,58.03,79,15,1.59,few clouds
94,Upernavik,GL,72.7868,-56.1549,15.55,73,80,7.36,broken clouds
95,Barrow,US,71.2906,-156.7887,28.42,86,100,24.16,light snow
96,Kavieng,PG,-2.5744,150.7967,83.57,70,90,4.34,overcast clouds
97,Bay Roberts,CA,47.5999,-53.2648,63.52,96,100,3.0,moderate rain
98,Tiarei,PF,-17.5333,-149.3333,77.61,80,37,19.37,scattered clouds
99,Dingle,PH,10.9995,122.6711,87.85,66,72,4.94,broken clouds
100,Rio Gallegos,AR,-51.6226,-69.2181,38.95,57,10,20.36,clear sky
101,East London,ZA,-33.0153,27.9116,66.02,78,80,4.27,broken clouds
102,Saskylakh,RU,71.9167,114.0833,16.74,96,86,5.41,overcast clouds
103,Berehove,UA,48.2056,22.6442,40.66,65,1,4.88,clear sky
104,Beoumi,CI,7.6736,-5.5764,70.52,97,51,3.62,broken clouds
105,Nanticoke,US,41.2054,-76.0049,43.65,82,70,2.39,broken clouds
106,Apac,UG,1.9756,32.5386,65.1,94,100,1.59,overcast clouds
107,Gimli,CA,50.6336,-96.9907,50.45,64,100,9.4,moderate rain
108,Pitimbu,BR,-7.4706,-34.8086,76.48,71,36,12.71,scattered clouds
109,Katsuura,JP,35.1333,140.3,69.51,56,2,12.26,clear sky
